Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Description,Program Description,Account Type,Account Code,Account Category,Account Description,Amount,Project Code,Program Code,Budget Type,Budget Name,Amount as number
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41127,Property Tax,Property Tax: Vehicle License Fee (VLF) - Property Tax Swap,32171531,0000000,IP59,2,Adjusted,32171531
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41128,Property Tax,Property Tax:  Redevelopment Trust Funds (RPTTF),13727682,0000000,IP59,2,Adjusted,13727682
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41129,Property Tax,Property Tax:  AB 1290 Statutory Pass Through,5997631,0000000,IP59,2,Adjusted,5997631
FY14-15,Non-Departmental,Non-Departmental,90411,Debt Service,1200,Pension Override Tax Revenue,UNDETERMINED PROJECT,DEBT/LEASE PAYMENTS,Revenue,41211,Local Tax,Voter-Approved: Current Secured,42897251,0000000,IN09,2,Adjusted,42897251
FY14-15,Non-Departmental,Non-Departmental,90411,Debt Service,1200,Pension Override Tax Revenue,UNDETERMINED PROJECT,DEBT/LEASE PAYMENTS,Revenue,41212,Local Tax,Voter-Approved: Current Unsecured,5110131,0000000,IN09,2,Adjusted,5110131
FY14-15,Non-Departmental,Non-Departmental,90411,Debt Service,1200,Pension Override Tax Revenue,UNDETERMINED PROJECT,DEBT/LEASE PAYMENTS,Revenue,41213,Local Tax,Voter-Approved: Unitary Tax,4097340,0000000,IN09,2,Adjusted,4097340
FY14-15,Non-Departmental,Non-Departmental,90411,Debt Service,1200,Pension Override Tax Revenue,UNDETERMINED PROJECT,DEBT/LEASE PAYMENTS,Revenue,41214,Local Tax,Voter-Approved: Current HOPTR,646864,0000000,IN09,2,Adjusted,646864
FY14-15,Non-Departmental,Non-Departmental,90411,Debt Service,1200,Pension Override Tax Revenue,UNDETERMINED PROJECT,DEBT/LEASE PAYMENTS,Revenue,41215,Local Tax,Voter-Approved: Prior Secured,2684487,0000000,IN09,2,Adjusted,2684487
FY14-15,Non-Departmental,Non-Departmental,90411,Debt Service,1200,Pension Override Tax Revenue,UNDETERMINED PROJECT,DEBT/LEASE PAYMENTS,Revenue,41216,Local Tax,Voter-Approved: Prior Unsecured,-64643,0000000,IN09,2,Adjusted,-64643
FY14-15,Non-Departmental,Non-Departmental,90411,Debt Service,1200,Pension Override Tax Revenue,UNDETERMINED PROJECT,DEBT/LEASE PAYMENTS,Revenue,41218,Local Tax,Voter-Approved: Secured Supplemental Assessment,2102100,0000000,IN09,2,Adjusted,2102100
FY14-15,Finance,Treasury,8721,Treasury: Operations,2251,Measure Y: Public Safety Act 2004,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41221,Local Tax,Voter-Approved: Public Safety Act / 2004 Measure Y,15059351,0000000,IP59,2,Adjusted,15059351
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41311,Sales Tax,Sales and Use Tax: Sales and Use Tax,37077904,0000000,IP59,2,Adjusted,37077904
FY14-15,Public Works,Public Works,30211,Engineering & Construction: Admin,2212,Measure B: Bicycle/Pedestrian Pass-Thru Funds,UNDETERMINED PROJECT,TRANSPORTATION PLANNING AND FUNDING,Revenue,41312,Sales Tax,Sales and Use Tax: Measure B,1103350,0000000,IN17,2,Adjusted,1103350
FY14-15,Public Works,Public Works,30261,Transportation Services: Admin,2211,Measure B: ACTIA,UNDETERMINED PROJECT,TRANSPORTATION & PEDESTRIAN SAFETY,Revenue,41312,Sales Tax,Sales and Use Tax: Measure B,9704439,0000000,NB33,2,Adjusted,9704439
FY14-15,Human Services,Human Services,75621,Oakland Paratransit for Elderly and Disabled,2213,Measure B: Paratransit - ACTIA,OPED ADMIN FY 14/15,EMPOWERING SENIORS & PEOPLE WITH DISABILITY,Revenue,41312,Sales Tax,Sales and Use Tax: Measure B,942497,G462510,YS14,2,Adjusted,942497
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41313,Sales Tax,Sales and Use Tax: Proposition 172,2927363,0000000,IP59,2,Adjusted,2927363
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41314,Sales Tax,Sales and Use Tax: Triple Flip,10354733,0000000,IP59,2,Adjusted,10354733
FY14-15,Public Works,Public Works,30534,Infrastructure Maint: Street Sidewalk,2230,State Gas Tax,UNDETERMINED PROJECT,STREETS & SIDEWALKS MGMT & DEVELOPMENT,Revenue,41411,Gas Tax,State Taxes: Gasoline Tax,5921392,0000000,IN04,2,Adjusted,5921392
FY14-15,Public Works,Public Works,30241,Engineering Design & ROW: Admin,2231,State Gas Tax-Prop 42 Replacement Funds,PROP 42-STREET REHAB,STREETS & SIDEWALKS MGMT & DEVELOPMENT,Revenue,41412,Miscellaneous Revenue,State Taxes: Prop 42 Trans Congestion Improvement Act,4965455,C173240,IN04,2,Adjusted,4965455
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41511,Business License Tax,Local Taxes: Business Tax,60616020,0000000,IP59,2,Adjusted,60616020
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41512,Utility Consumption Tax,Local Taxes: Utility Consumption Tax,50000000,0000000,IP59,2,Adjusted,50000000
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41514,Real Estate Transfer Tax,Local Taxes: Real Estate Transfer Tax,53000000,0000000,IP59,2,Adjusted,53000000
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41515,Transient Occupancy Tax,Local Taxes: Transient Occupancy Tax,14883000,0000000,IP59,2,Adjusted,14883000
FY14-15,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,2419,Transient Occupancy Tax (TOT) Surcharge,FAIRS & FESTIVAL TOT SURCHARGE,MARKETING & SPECIAL EVENTS,Revenue,41515,Transient Occupancy Tax,Local Taxes: Transient Occupancy Tax,138904,P391870,SC02,2,Adjusted,138904
FY14-15,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,2419,Transient Occupancy Tax (TOT) Surcharge,ART & SOUL TRANSIT OCCUPANCY TAX (TOT) S/C,MARKETING & SPECIAL EVENTS,Revenue,41515,Transient Occupancy Tax,Local Taxes: Transient Occupancy Tax,111362,P391860,SC02,2,Adjusted,111362
FY14-15,Economic & Workforce Development,Economic & Workforce Development,85511,Cultural Arts & Marketing,2419,Transient Occupancy Tax (TOT) Surcharge,CULTURAL FUNDING PRGM TRNST OCCPNCY TAX (TOT) S/C,CULTURAL FUNDING PROGRAM,Revenue,41515,Transient Occupancy Tax,Local Taxes: Transient Occupancy Tax,248669,P391850,CE02,2,Adjusted,248669
FY14-15,Non-Departmental,Non-Departmental,90591,City-Wide Activities,2419,Transient Occupancy Tax (TOT) Surcharge,CHABOT SPACE  AND SCIENCE CTR TOT SURCHARGE,CITYWIDE ACTIVITIES,Revenue,41515,Transient Occupancy Tax,Local Taxes: Transient Occupancy Tax,498935,P391840,IP50,2,Adjusted,498935
FY14-15,Non-Departmental,Non-Departmental,90591,City-Wide Activities,2419,Transient Occupancy Tax (TOT) Surcharge,OAK ZOO TRANSIENT OCCPNCY TX (TOT) SURCHARGE,CITYWIDE ACTIVITIES,Revenue,41515,Transient Occupancy Tax,Local Taxes: Transient Occupancy Tax,498935,P391820,IP50,2,Adjusted,498935
FY14-15,Non-Departmental,Non-Departmental,90591,City-Wide Activities,2419,Transient Occupancy Tax (TOT) Surcharge,OAK MUSEUM OF CA TOT SURCHARGE,CITYWIDE ACTIVITIES,Revenue,41515,Transient Occupancy Tax,Local Taxes: Transient Occupancy Tax,498935,P391830,IP50,2,Adjusted,498935
FY14-15,Non-Departmental,Non-Departmental,90591,City-Wide Activities,2419,Transient Occupancy Tax (TOT) Surcharge,OAK CONVNTN & VISITORS BUREAU TOT SURCHARGE,CITYWIDE ACTIVITIES,Revenue,41515,Transient Occupancy Tax,Local Taxes: Transient Occupancy Tax,1995742,P391810,IP50,2,Adjusted,1995742
FY14-15,Finance,Treasury,8721,Treasury: Operations,2310,Lighting and Landscape Assessment District,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41518,Local Tax,Local Taxes: Lighting/Landscaping Assessment,18970646,0000000,IP59,2,Adjusted,18970646
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41519,Parking Tax,Local Taxes: Parking,8178000,0000000,IP59,2,Adjusted,8178000
FY14-15,Finance,Treasury,8721,Treasury: Operations,2251,Measure Y: Public Safety Act 2004,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41519,Parking Tax,Local Taxes: Parking,3632900,0000000,IP59,2,Adjusted,3632900
FY14-15,Finance,Treasury,8721,Treasury: Operations,5130,Rockridge: Library Assessment District,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41520,Local Tax,Local Taxes: Voter-Approved Special Tax,134420,0000000,IP59,2,Adjusted,134420
FY14-15,Fire,Fire Department,20251,Communications Emergency Dispatch,2412,Alameda County: Emergency Dispatch Service Supplemental Assessment,UNDETERMINED PROJECT,DISPATCH COMMUNICATIONS,Revenue,41520,Local Tax,Local Taxes: Voter-Approved Special Tax,1915232,0000000,PS20,2,Adjusted,1915232
FY14-15,Fire,Fire Department,20311,Fire Marshal's Office,2321,Wildland Fire Prevention Assess District,UNDETERMINED PROJECT,FIRE PREVENTION BUREAU,Revenue,41520,Local Tax,Local Taxes: Voter-Approved Special Tax,1973871,0000000,PS23,2,Adjusted,1973871
FY14-15,Fire,Fire Department,20521,Budget Unit,2412,Alameda County: Emergency Dispatch Service Supplemental Assessment,UNDETERMINED PROJECT,DISPATCH COMMUNICATIONS,Revenue,41520,Local Tax,Local Taxes: Voter-Approved Special Tax,4542,0000000,PS20,2,Adjusted,4542
FY14-15,Fire,Fire Department,20912,Measure N - Paramedic,2250,Measure N: Fund,UNDETERMINED PROJECT,EMERGENCY MEDICAL RESPONSE,Revenue,41520,Local Tax,Local Taxes: Voter-Approved Special Tax,1523744,0000000,PS19,2,Adjusted,1523744
FY14-15,Public Library,Library,61121,Departmental Operation,2241,Measure Q-Library Services Retention & Enhancement,UNDETERMINED PROJECT,LIBRARY SYSTEMWIDE SUPPORT,Revenue,41520,Local Tax,Local Taxes: Voter-Approved Special Tax,14223664,0000000,NB37,2,Adjusted,14223664
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41611,Service Charges,Franchise: Gas and Electric,2544358,0000000,IP59,2,Adjusted,2544358
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41612,Service Charges,Franchise: Refuse,4849128,0000000,IP59,2,Adjusted,4849128
FY14-15,Information Technology,Information Technology,46211,Customer Support,1010,General Fund: General Purpose,UNDETERMINED PROJECT,TECHNOLOGY MANAGEMENT,Revenue,41613,Service Charges,Franchise: Cable TV,2308801,0000000,IP62,2,Adjusted,2308801
FY14-15,City Administrator,Other Services,63221,KTOP Operations,1760,Telecommunications Reserve,UNDETERMINED PROJECT,"COMMUNICATIONS-KTOP, WEBSITE & FILM OFFICE",Revenue,41613,Service Charges,Franchise: Cable TV,1505000,0000000,IP13,2,Adjusted,1505000
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,41617,Service Charges,Franchise: Sewer,4238750,0000000,IP59,2,Adjusted,4238750
FY14-15,Public Works,Public Works,30234,Facilities Planning & Development,1720,Comprehensive Clean-up,STREET FURNITURE FRANCHISE AGR,PROJECT DELIVERY,Revenue,41619,Service Charges,Franchise: Miscellaneous,89200,P234210,IN06,2,Adjusted,89200
FY14-15,Police,Police Department,103130,Animal Shelter,1010,General Fund: General Purpose,UNDETERMINED PROJECT,SPECIAL OPERATIONS,Revenue,42111,Licenses & Permits,Licenses: Animal,120377,0000000,PS13,2,Adjusted,120377
FY14-15,Planning & Building,Planning & Building,84229,Zoning,2415,Development Service Fund,UNDETERMINED PROJECT,DEVELOPMENT REVIEW/ZONING,Revenue,42211,Licenses & Permits,Permits: Construction,11000,0000000,SC10,2,Adjusted,11000
FY14-15,Planning & Building,Planning & Building,84411,Admin: Engineering,2415,Development Service Fund,UNDETERMINED PROJECT,ENGINEERING & ARCHITECTURAL PLAN APPROVAL,Revenue,42211,Licenses & Permits,Permits: Construction,356000,0000000,PS30,2,Adjusted,356000
FY14-15,Planning & Building,Planning & Building,84421,Engineering: Permit Center,2415,Development Service Fund,UNDETERMINED PROJECT,ENGINEERING & ARCHITECTURAL PLAN APPROVAL,Revenue,42211,Licenses & Permits,Permits: Construction,1264000,0000000,PS30,2,Adjusted,1264000
FY14-15,Planning & Building,Planning & Building,84431,Building & Infrastructure Plan Check,2415,Development Service Fund,UNDETERMINED PROJECT,ENGINEERING & ARCHITECTURAL PLAN APPROVAL,Revenue,42211,Licenses & Permits,Permits: Construction,2049000,0000000,PS30,2,Adjusted,2049000
FY14-15,Planning & Building,Planning & Building,84432,Engineering: Project Coordination,2415,Development Service Fund,UNDETERMINED PROJECT,ENGINEERING & ARCHITECTURAL PLAN APPROVAL,Revenue,42211,Licenses & Permits,Permits: Construction,618000,0000000,PS30,2,Adjusted,618000
FY14-15,Planning & Building,Planning & Building,84451,Inspections: Commercial Building,2415,Development Service Fund,UNDETERMINED PROJECT,DEVELOPMENT PERMIT INSPECTIONS,Revenue,42211,Licenses & Permits,Permits: Construction,2463000,0000000,PS31,2,Adjusted,2463000
FY14-15,Planning & Building,Planning & Building,84452,Inspections: Residential Building,2415,Development Service Fund,UNDETERMINED PROJECT,DEVELOPMENT PERMIT INSPECTIONS,Revenue,42211,Licenses & Permits,Permits: Construction,246000,0000000,PS31,2,Adjusted,246000
FY14-15,Planning & Building,Planning & Building,84453,Inspections: Infrastructure,2415,Development Service Fund,UNDETERMINED PROJECT,DEVELOPMENT PERMIT INSPECTIONS,Revenue,42211,Licenses & Permits,Permits: Construction,375000,0000000,PS31,2,Adjusted,375000
FY14-15,Planning & Building,Planning & Building,84454,Inspections: Neighborhood Preservation,2415,Development Service Fund,UNDETERMINED PROJECT,DEVELOPMENT PERMIT INSPECTIONS,Revenue,42211,Licenses & Permits,Permits: Construction,939000,0000000,PS31,2,Adjusted,939000
FY14-15,Public Works,Public Works,30241,Engineering Design & ROW: Admin,2415,Development Service Fund,RIGHT OF WAY INSPECTIONs 2415,SANITARY & STORM SEWER MGMT & DEVELOPMENT,Revenue,42312,Licenses & Permits,Permits: Sewer,400000,A167520,IN03,2,Adjusted,400000
FY14-15,Public Works,Public Works,30241,Engineering Design & ROW: Admin,2415,Development Service Fund,RIGHT OF WAY INSPECTIONs 2415,ENGINEERING PLANNING & DESIGN,Revenue,42313,Licenses & Permits,Permits: Grading and Excavating,1400000,A167520,IN05,2,Adjusted,1400000
FY14-15,Planning & Building,Planning & Building,84432,Engineering: Project Coordination,2415,Development Service Fund,UNDETERMINED PROJECT,ENGINEERING & ARCHITECTURAL PLAN APPROVAL,Revenue,42313,Licenses & Permits,Permits: Grading and Excavating,229000,0000000,PS30,2,Adjusted,229000
FY14-15,Public Works,Public Works,30541,Equipment Services: Administration,4100,Equipment,UNDETERMINED PROJECT,FLEET MANAGEMENT & MAINTENANCE,Revenue,42314,Licenses & Permits,Permits: Encroachment,81030,0000000,IN01,2,Adjusted,81030
FY14-15,Public Works,Public Works,30674,Illegal Dumping,1720,Comprehensive Clean-up,UNDETERMINED PROJECT,KEEP OAKLAND CLEAN & BEAUTIFUL,Revenue,42314,Licenses & Permits,Permits: Encroachment,9000,0000000,NB35,2,Adjusted,9000
FY14-15,Planning & Building,Planning & Building,84431,Building & Infrastructure Plan Check,2415,Development Service Fund,UNDETERMINED PROJECT,ENGINEERING & ARCHITECTURAL PLAN APPROVAL,Revenue,42314,Licenses & Permits,Permits: Encroachment,139000,0000000,PS30,2,Adjusted,139000
FY14-15,Planning & Building,Planning & Building,84432,Engineering: Project Coordination,2415,Development Service Fund,UNDETERMINED PROJECT,ENGINEERING & ARCHITECTURAL PLAN APPROVAL,Revenue,42314,Licenses & Permits,Permits: Encroachment,185000,0000000,PS30,2,Adjusted,185000
FY14-15,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,UNDETERMINED PROJECT,TRAFFIC OPERATIONS,Revenue,42411,Licenses & Permits,Special Permits: Police,305988,0000000,PS14,2,Adjusted,305988
FY14-15,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,UNDETERMINED PROJECT,ADMINISTRATION,Revenue,42411,Licenses & Permits,Special Permits: Police,329207,0000000,IP03,2,Adjusted,329207
FY14-15,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,CANNABIS COOPERATIVE,ADMINISTRATION,Revenue,42411,Licenses & Permits,Special Permits: Police,709500,A252610,IP03,2,Adjusted,709500
FY14-15,Police,Police Department,103242,Records Warrants,1010,General Fund: General Purpose,UNDETERMINED PROJECT,POLICE RECORDS,Revenue,42411,Licenses & Permits,Special Permits: Police,831,0000000,PS07,2,Adjusted,831
FY14-15,Police,Police Department,107510,Traffic BFO,1010,General Fund: General Purpose,EXTRA LEGAL LOAD TRANSP PROGRAM,TRAFFIC OPERATIONS,Revenue,42411,Licenses & Permits,Special Permits: Police,35821,P208110,PS14,2,Adjusted,35821
FY14-15,Police,Police Department,107510,Traffic BFO,1010,General Fund: General Purpose,UNDETERMINED PROJECT,TRAFFIC OPERATIONS,Revenue,42411,Licenses & Permits,Special Permits: Police,58135,0000000,PS14,2,Adjusted,58135
FY14-15,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,SPECIAL OPERATIONS,Revenue,42411,Licenses & Permits,Special Permits: Police,3723,0000000,PS13,2,Adjusted,3723
FY14-15,Fire,Fire Department,20311,Fire Marshal's Office,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FIRE PREVENTION BUREAU,Revenue,42412,Licenses & Permits,Special Permits: Fire,67083,0000000,PS23,2,Adjusted,67083
FY14-15,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,UNDETERMINED PROJECT,ADMINISTRATION,Revenue,42414,Licenses & Permits,Special Permits: Charity,3968,0000000,IP03,2,Adjusted,3968
FY14-15,Finance,Revenue,8411,Revenue: Administration,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,42416,Licenses & Permits,Special Permits: Residential Parking,76381,0000000,IP59,2,Adjusted,76381
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,42416,Licenses & Permits,Special Permits: Residential Parking,189844,0000000,IP59,2,Adjusted,189844
FY14-15,Finance,Revenue,8921,Parking: Citation Assistance Center,1010,General Fund: General Purpose,"RESIDENTIAL PERMIT PARKING AREA ""N""",PARKING MANAGEMENT,Revenue,42416,Licenses & Permits,Special Permits: Residential Parking,30000,P459610,IP60,2,Adjusted,30000
FY14-15,Finance,Revenue,8921,Parking: Citation Assistance Center,1010,General Fund: General Purpose,UNDETERMINED PROJECT,PARKING MANAGEMENT,Revenue,42416,Licenses & Permits,Special Permits: Residential Parking,4873,0000000,IP60,2,Adjusted,4873
FY14-15,Public Works,Public Works,30654,Tree Services,2310,Lighting and Landscape Assessment District,UNDETERMINED PROJECT,TREES,Revenue,42417,Licenses & Permits,Special Permits: Tree Removal,12600,0000000,NB09,2,Adjusted,12600
FY14-15,Planning & Building,Planning & Building,84229,Zoning,2415,Development Service Fund,UNDETERMINED PROJECT,DEVELOPMENT REVIEW/ZONING,Revenue,42417,Licenses & Permits,Special Permits: Tree Removal,6000,0000000,SC10,2,Adjusted,6000
FY14-15,Planning & Building,Planning & Building,84229,Zoning,2415,Development Service Fund,UNDETERMINED PROJECT,DEVELOPMENT REVIEW/ZONING,Revenue,42511,Licenses & Permits,Planning Permit: Zoning,718000,0000000,SC10,2,Adjusted,718000
FY14-15,Planning & Building,Planning & Building,84431,Building & Infrastructure Plan Check,2415,Development Service Fund,UNDETERMINED PROJECT,ENGINEERING & ARCHITECTURAL PLAN APPROVAL,Revenue,42511,Licenses & Permits,Planning Permit: Zoning,1628000,0000000,PS30,2,Adjusted,1628000
FY14-15,Planning & Building,Planning & Building,84229,Zoning,2415,Development Service Fund,UNDETERMINED PROJECT,DEVELOPMENT REVIEW/ZONING,Revenue,42512,Licenses & Permits,Planning Permit: Subdivision,132000,0000000,SC10,2,Adjusted,132000
FY14-15,Planning & Building,Planning & Building,84229,Zoning,2415,Development Service Fund,UNDETERMINED PROJECT,DEVELOPMENT REVIEW/ZONING,Revenue,42513,Licenses & Permits,Planning Permit: Environmental Impact Report,393000,0000000,SC10,2,Adjusted,393000
FY14-15,Public Works,Public Works,30261,Transportation Services: Admin,2416,Traffic Safety Fund,UNDETERMINED PROJECT,TRANSPORTATION & PEDESTRIAN SAFETY,Revenue,43111,Fines & Penalties,Fines: State Vehicle Code,1526764,0000000,NB33,2,Adjusted,1526764
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,43112,Fines & Penalties,Fines: City Traffic Code,21111009,0000000,IP59,2,Adjusted,21111009
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,PARKING MANAGEMENT,Revenue,43112,Fines & Penalties,Fines: City Traffic Code,900000,0000000,IP60,2,Adjusted,900000
FY14-15,Police,Police Department,107510,Traffic BFO,2416,Traffic Safety Fund,RED LIGHT CAMERA ENFRCMT-FUND 2416,TRAFFIC OPERATIONS,Revenue,43112,Fines & Penalties,Fines: City Traffic Code,1200000,P328920,PS14,2,Adjusted,1200000
FY14-15,Public Library,Library,61121,Departmental Operation,1010,General Fund: General Purpose,UNDETERMINED PROJECT,LIBRARY SYSTEMWIDE SUPPORT,Revenue,43114,Fines & Penalties,Fines: Other,256926,0000000,NB37,2,Adjusted,256926
FY14-15,Planning & Building,Planning & Building,84454,Inspections: Neighborhood Preservation,2415,Development Service Fund,UNDETERMINED PROJECT,DEVELOPMENT PERMIT INSPECTIONS,Revenue,43114,Fines & Penalties,Fines: Other,644000,0000000,PS31,2,Adjusted,644000
FY14-15,Police,Police Department,107710,Special Operations,1010,General Fund: General Purpose,DEEMED APPROVED ALCOHOL CONTRO,SPECIAL OPERATIONS,Revenue,43115,Fines & Penalties,Fines: Miscellaneous,21050,P46000,PS13,2,Adjusted,21050
FY14-15,Fire,Fire Department,20311,Fire Marshal's Office,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FIRE PREVENTION BUREAU,Revenue,43115,Fines & Penalties,Fines: Miscellaneous,67698,0000000,PS23,2,Adjusted,67698
FY14-15,Planning & Building,Planning & Building,84454,Inspections: Neighborhood Preservation,2415,Development Service Fund,UNDETERMINED PROJECT,DEVELOPMENT PERMIT INSPECTIONS,Revenue,43115,Fines & Penalties,Fines: Miscellaneous,371000,0000000,PS31,2,Adjusted,371000
FY14-15,Finance,Treasury,8721,Treasury: Operations,1010,General Fund: General Purpose,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,43211,Fines & Penalties,Penalties: General Property Tax,594163,0000000,IP59,2,Adjusted,594163
FY14-15,Finance,Treasury,8721,Treasury: Operations,1200,Pension Override Tax Revenue,UNDETERMINED PROJECT,FINANCIAL MANAGEMENT,Revenue,43211,Fines & Penalties,Penalties: General Property Tax,200000,0000000,IP59,2,Adjusted,200000
FY14-15,Non-Departmental,Non-Departmental,90411,Debt Service,1200,Pension Override Tax Revenue,UNDETERMINED PROJECT,DEBT/LEASE PAYMENTS,Revenue,43211,Fines & Penalties,Penalties: General Property Tax,709320,0000000,IN09,2,Adjusted,709320
