Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Code,Account Description,Account Category,Amount,Budget Type,Budget Name,Amount as number
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53313,Official Hospitality,Services & Supplies,2910,1,Adopted,2910
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53611,Postage and Mailing,Services & Supplies,400,1,Adopted,400
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,54619,Repair and Maintenance: Miscellaneous,Contract Services,360,1,Adopted,360
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,54711,Printing and Duplicating Services,Contract Services,200,1,Adopted,200
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,54919,Services: Miscellaneous Contract,Contract Services,500,1,Adopted,500
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55112,Commercial Transportation,Travel & Education,100,1,Adopted,100
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55114,Per Diem and Lodging,Travel & Education,400,1,Adopted,400
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",Travel & Education,1420,1,Adopted,1420
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55212,Registration and Tuition,Travel & Education,1500,1,Adopted,1500
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55311,Memberships: Employee Association Dues,Travel & Education,100,1,Adopted,100
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,56312,Duplicating,Internal Services & Work Orders,350,1,Adopted,350
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51111,Civilian: Regular,Civilian Salaries,221111,1,Adopted,221111
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,6600,1,Adopted,6600
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51511,Civilian: Paid Leave Charge,Civilian Salaries,41452,1,Adopted,41452
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51611,Civilian: Retirement Accrual,Civilian Retirement,86488,1,Adopted,86488
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,100818,1,Adopted,100818
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,52211,Stationery and Office Supplies,Services & Supplies,250,1,Adopted,250
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",Services & Supplies,2010,1,Adopted,2010
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53116,Telephone,Services & Supplies,800,1,Adopted,800
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53311,City Promotion,Services & Supplies,100,1,Adopted,100
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53313,Official Hospitality,Services & Supplies,1730,1,Adopted,1730
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53611,Postage and Mailing,Services & Supplies,300,1,Adopted,300
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,54919,Services: Miscellaneous Contract,Contract Services,750,1,Adopted,750
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",Travel & Education,1510,1,Adopted,1510
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55212,Registration and Tuition,Travel & Education,1000,1,Adopted,1000
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55214,On-Line Database Service,Travel & Education,500,1,Adopted,500
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55311,Memberships: Employee Association Dues,Travel & Education,500,1,Adopted,500
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,56312,Duplicating,Internal Services & Work Orders,300,1,Adopted,300
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51111,Civilian: Regular,Civilian Salaries,221111,1,Adopted,221111
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,6600,1,Adopted,6600
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51511,Civilian: Paid Leave Charge,Civilian Salaries,41452,1,Adopted,41452
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51611,Civilian: Retirement Accrual,Civilian Retirement,86488,1,Adopted,86488
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,100818,1,Adopted,100818
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,52211,Stationery and Office Supplies,Services & Supplies,1540,1,Adopted,1540
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",Services & Supplies,1020,1,Adopted,1020
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53116,Telephone,Services & Supplies,1100,1,Adopted,1100
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53313,Official Hospitality,Services & Supplies,800,1,Adopted,800
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53611,Postage and Mailing,Services & Supplies,400,1,Adopted,400
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53719,Miscellaneous Services,Services & Supplies,100,1,Adopted,100
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,54619,Repair and Maintenance: Miscellaneous,Contract Services,250,1,Adopted,250
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,54919,Services: Miscellaneous Contract,Contract Services,400,1,Adopted,400
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55112,Commercial Transportation,Travel & Education,750,1,Adopted,750
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55114,Per Diem and Lodging,Travel & Education,200,1,Adopted,200
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",Travel & Education,1000,1,Adopted,1000
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55211,Periodical Subscriptions,Travel & Education,290,1,Adopted,290
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55212,Registration and Tuition,Travel & Education,900,1,Adopted,900
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55311,Memberships: Employee Association Dues,Travel & Education,100,1,Adopted,100
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,56312,Duplicating,Internal Services & Work Orders,900,1,Adopted,900
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51111,Civilian: Regular,Civilian Salaries,221111,1,Adopted,221111
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,53311,City Promotion,Services & Supplies,570,1,Adopted,570
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,6600,1,Adopted,6600
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51511,Civilian: Paid Leave Charge,Civilian Salaries,41452,1,Adopted,41452
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51611,Civilian: Retirement Accrual,Civilian Retirement,86488,1,Adopted,86488
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,100818,1,Adopted,100818
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,52211,Stationery and Office Supplies,Services & Supplies,1530,1,Adopted,1530
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53116,Telephone,Services & Supplies,1500,1,Adopted,1500
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53313,Official Hospitality,Services & Supplies,1170,1,Adopted,1170
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53611,Postage and Mailing,Services & Supplies,500,1,Adopted,500
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,54919,Services: Miscellaneous Contract,Contract Services,1250,1,Adopted,1250
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55112,Commercial Transportation,Travel & Education,1000,1,Adopted,1000
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55114,Per Diem and Lodging,Travel & Education,300,1,Adopted,300
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",Travel & Education,400,1,Adopted,400
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55211,Periodical Subscriptions,Travel & Education,100,1,Adopted,100
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55212,Registration and Tuition,Travel & Education,1000,1,Adopted,1000
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,56312,Duplicating,Internal Services & Work Orders,1000,1,Adopted,1000
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51111,Civilian: Regular,Civilian Salaries,221111,1,Adopted,221111
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,6600,1,Adopted,6600
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51511,Civilian: Paid Leave Charge,Civilian Salaries,41452,1,Adopted,41452
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51611,Civilian: Retirement Accrual,Civilian Retirement,86488,1,Adopted,86488
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,100818,1,Adopted,100818
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,52211,Stationery and Office Supplies,Services & Supplies,2740,1,Adopted,2740
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,52614,Books,Services & Supplies,30,1,Adopted,30
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53116,Telephone,Services & Supplies,3000,1,Adopted,3000
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53313,Official Hospitality,Services & Supplies,490,1,Adopted,490
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53611,Postage and Mailing,Services & Supplies,230,1,Adopted,230
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,54919,Services: Miscellaneous Contract,Contract Services,600,1,Adopted,600
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55112,Commercial Transportation,Travel & Education,550,1,Adopted,550
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55114,Per Diem and Lodging,Travel & Education,750,1,Adopted,750
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55212,Registration and Tuition,Travel & Education,1050,1,Adopted,1050
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55311,Memberships: Employee Association Dues,Travel & Education,10,1,Adopted,10
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,56312,Duplicating,Internal Services & Work Orders,300,1,Adopted,300
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51111,Civilian: Regular,Civilian Salaries,221111,1,Adopted,221111
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,6600,1,Adopted,6600
FY15-16,Expense,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP01,MAYOR'S SUPPORT,53116,Telephone,Services & Supplies,22000,1,Adopted,22000
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51511,Civilian: Paid Leave Charge,Civilian Salaries,41452,1,Adopted,41452
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51611,Civilian: Retirement Accrual,Civilian Retirement,86488,1,Adopted,86488
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,100818,1,Adopted,100818
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,52211,Stationery and Office Supplies,Services & Supplies,2460,1,Adopted,2460
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,52911,Bottled Water and Food for Human Consumption,Services & Supplies,800,1,Adopted,800
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,52919,Supplies: Miscellaneous and Commodities,Services & Supplies,400,1,Adopted,400
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53112,Electricity (Except Street Lighting),Services & Supplies,200,1,Adopted,200
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53116,Telephone,Services & Supplies,1950,1,Adopted,1950
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,53611,Postage and Mailing,Services & Supplies,300,1,Adopted,300
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,54919,Services: Miscellaneous Contract,Contract Services,590,1,Adopted,590
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55112,Commercial Transportation,Travel & Education,220,1,Adopted,220
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55114,Per Diem and Lodging,Travel & Education,1300,1,Adopted,1300
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55211,Periodical Subscriptions,Travel & Education,250,1,Adopted,250
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,55212,Registration and Tuition,Travel & Education,980,1,Adopted,980
