Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Type,Account Category,Account Code,Account Description,Amount,Budget Type,Budget Name,Amount as number
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",1510,1,Adopted,1510
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55212,Registration and Tuition,1000,1,Adopted,1000
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55214,On-Line Database Service,500,1,Adopted,500
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55311,Memberships: Employee Association Dues,500,1,Adopted,500
FY14-15,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56312,Duplicating,300,1,Adopted,300
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51111,Civilian: Regular,201021,1,Adopted,201021
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,1,Adopted,6600
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,36961,1,Adopted,36961
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,66771,1,Adopted,66771
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,93012,1,Adopted,93012
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Misc. Personnel Adjustments,51912,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-8282,1,Adopted,-8282
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52211,Stationery and Office Supplies,1540,1,Adopted,1540
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",1020,1,Adopted,1020
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53116,Telephone,1100,1,Adopted,1100
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53313,Official Hospitality,800,1,Adopted,800
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53611,Postage and Mailing,400,1,Adopted,400
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53719,Miscellaneous Services,100,1,Adopted,100
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54619,Repair and Maintenance: Miscellaneous,250,1,Adopted,250
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54919,Services: Miscellaneous Contract,400,1,Adopted,400
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55112,Commercial Transportation,750,1,Adopted,750
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55114,Per Diem and Lodging,200,1,Adopted,200
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",1000,1,Adopted,1000
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55211,Periodical Subscriptions,290,1,Adopted,290
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55212,Registration and Tuition,900,1,Adopted,900
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55311,Memberships: Employee Association Dues,100,1,Adopted,100
FY14-15,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56312,Duplicating,900,1,Adopted,900
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51111,Civilian: Regular,201021,1,Adopted,201021
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,1,Adopted,6600
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,36961,1,Adopted,36961
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,66771,1,Adopted,66771
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,93012,1,Adopted,93012
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Misc. Personnel Adjustments,51912,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-8282,1,Adopted,-8282
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52211,Stationery and Office Supplies,1530,1,Adopted,1530
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53116,Telephone,1500,1,Adopted,1500
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53313,Official Hospitality,1170,1,Adopted,1170
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53611,Postage and Mailing,500,1,Adopted,500
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54919,Services: Miscellaneous Contract,1250,1,Adopted,1250
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55112,Commercial Transportation,1000,1,Adopted,1000
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55114,Per Diem and Lodging,300,1,Adopted,300
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",400,1,Adopted,400
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55211,Periodical Subscriptions,100,1,Adopted,100
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55212,Registration and Tuition,1000,1,Adopted,1000
FY14-15,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56312,Duplicating,1000,1,Adopted,1000
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51111,Civilian: Regular,201021,1,Adopted,201021
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,1,Adopted,6600
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51428,Premium: Bilingual,3363,1,Adopted,3363
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,36961,1,Adopted,36961
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,66771,1,Adopted,66771
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,93012,1,Adopted,93012
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Misc. Personnel Adjustments,51912,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-8728,1,Adopted,-8728
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52211,Stationery and Office Supplies,2740,1,Adopted,2740
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52614,Books,30,1,Adopted,30
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53116,Telephone,3000,1,Adopted,3000
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53313,Official Hospitality,490,1,Adopted,490
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53611,Postage and Mailing,230,1,Adopted,230
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54919,Services: Miscellaneous Contract,600,1,Adopted,600
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55112,Commercial Transportation,550,1,Adopted,550
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55114,Per Diem and Lodging,750,1,Adopted,750
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55212,Registration and Tuition,1050,1,Adopted,1050
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55311,Memberships: Employee Association Dues,10,1,Adopted,10
FY14-15,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56312,Duplicating,300,1,Adopted,300
FY14-15,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51111,Civilian: Regular,201021,1,Adopted,201021
FY14-15,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,1,Adopted,6600
FY14-15,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,36961,1,Adopted,36961
FY14-15,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,66771,1,Adopted,66771
FY14-15,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,93012,1,Adopted,93012
FY14-15,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Misc. Personnel Adjustments,51912,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-8282,1,Adopted,-8282
FY14-15,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52211,Stationery and Office Supplies,2460,1,Adopted,2460
FY14-15,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52911,Bottled Water and Food for Human Consumption,800,1,Adopted,800
FY14-15,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52919,Supplies: Miscellaneous and Commodities,400,1,Adopted,400
FY14-15,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53112,Electricity (Except Street Lighting),200,1,Adopted,200
