Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Category,Account Code,Account Description,Amount,Budget Type,Budget Name,Amount as number
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53611,Postage and Mailing,1400,3,Proposed,1400
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54811,Temporary Personnel Services,2000,3,Proposed,2000
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Internal Services & Work Orders,56124,City Contract Compliance Dept-Purchasing Services,1700,3,Proposed,1700
FY15-16,Expense,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53313,Official Hospitality,9000,3,Proposed,9000
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,3,Proposed,6600
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53611,Postage and Mailing,400,3,Proposed,400
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54619,Repair and Maintenance: Miscellaneous,360,3,Proposed,360
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Internal Services & Work Orders,56312,Duplicating,350,3,Proposed,350
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51511,Civilian: Paid Leave Charge,38665,3,Proposed,38665
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55311,Memberships: Employee Association Dues,100,3,Proposed,100
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55212,Registration and Tuition,1500,3,Proposed,1500
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53116,Telephone,1290,3,Proposed,1290
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52211,Stationery and Office Supplies,220,3,Proposed,220
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51111,Civilian: Regular,211728,3,Proposed,211728
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54711,Printing and Duplicating Services,200,3,Proposed,200
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",1420,3,Proposed,1420
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55114,Per Diem and Lodging,400,3,Proposed,400
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53313,Official Hospitality,2910,3,Proposed,2910
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Retirement,51611,Civilian: Retirement Accrual,82479,3,Proposed,82479
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55112,Commercial Transportation,100,3,Proposed,100
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54919,Services: Miscellaneous Contract,500,3,Proposed,500
FY15-16,Expense,City Council,City Council,111,District One,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,96083,3,Proposed,96083
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Internal Services & Work Orders,56312,Duplicating,300,3,Proposed,300
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51511,Civilian: Paid Leave Charge,38665,3,Proposed,38665
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Retirement,51611,Civilian: Retirement Accrual,82479,3,Proposed,82479
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53311,City Promotion,100,3,Proposed,100
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55311,Memberships: Employee Association Dues,500,3,Proposed,500
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",2010,3,Proposed,2010
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55212,Registration and Tuition,1000,3,Proposed,1000
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54919,Services: Miscellaneous Contract,750,3,Proposed,750
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51111,Civilian: Regular,211728,3,Proposed,211728
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52211,Stationery and Office Supplies,250,3,Proposed,250
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53313,Official Hospitality,1730,3,Proposed,1730
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",1510,3,Proposed,1510
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53116,Telephone,800,3,Proposed,800
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53611,Postage and Mailing,300,3,Proposed,300
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55214,On-Line Database Service,500,3,Proposed,500
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,3,Proposed,6600
FY15-16,Expense,City Council,City Council,211,District Two,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,96083,3,Proposed,96083
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51111,Civilian: Regular,211728,3,Proposed,211728
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53719,Miscellaneous Services,100,3,Proposed,100
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55112,Commercial Transportation,750,3,Proposed,750
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,96083,3,Proposed,96083
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51511,Civilian: Paid Leave Charge,38665,3,Proposed,38665
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Retirement,51611,Civilian: Retirement Accrual,82479,3,Proposed,82479
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53611,Postage and Mailing,400,3,Proposed,400
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53313,Official Hospitality,800,3,Proposed,800
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",1000,3,Proposed,1000
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55211,Periodical Subscriptions,290,3,Proposed,290
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54619,Repair and Maintenance: Miscellaneous,250,3,Proposed,250
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55212,Registration and Tuition,900,3,Proposed,900
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54919,Services: Miscellaneous Contract,400,3,Proposed,400
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55311,Memberships: Employee Association Dues,100,3,Proposed,100
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53116,Telephone,1100,3,Proposed,1100
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",1020,3,Proposed,1020
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52211,Stationery and Office Supplies,1540,3,Proposed,1540
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Internal Services & Work Orders,56312,Duplicating,900,3,Proposed,900
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55114,Per Diem and Lodging,200,3,Proposed,200
FY15-16,Expense,City Council,City Council,311,District Three,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,3,Proposed,6600
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53116,Telephone,1500,3,Proposed,1500
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51511,Civilian: Paid Leave Charge,38665,3,Proposed,38665
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Retirement,51611,Civilian: Retirement Accrual,82479,3,Proposed,82479
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Internal Services & Work Orders,56312,Duplicating,1000,3,Proposed,1000
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55112,Commercial Transportation,1000,3,Proposed,1000
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53611,Postage and Mailing,500,3,Proposed,500
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51111,Civilian: Regular,211728,3,Proposed,211728
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",400,3,Proposed,400
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53313,Official Hospitality,1170,3,Proposed,1170
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55211,Periodical Subscriptions,100,3,Proposed,100
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,96083,3,Proposed,96083
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52211,Stationery and Office Supplies,1530,3,Proposed,1530
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55114,Per Diem and Lodging,300,3,Proposed,300
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,3,Proposed,6600
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55212,Registration and Tuition,1000,3,Proposed,1000
FY15-16,Expense,City Council,City Council,411,District Four,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54919,Services: Miscellaneous Contract,1250,3,Proposed,1250
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55114,Per Diem and Lodging,750,3,Proposed,750
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54919,Services: Miscellaneous Contract,600,3,Proposed,600
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53116,Telephone,3000,3,Proposed,3000
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52211,Stationery and Office Supplies,2740,3,Proposed,2740
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55311,Memberships: Employee Association Dues,10,3,Proposed,10
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53313,Official Hospitality,490,3,Proposed,490
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,96083,3,Proposed,96083
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51111,Civilian: Regular,211728,3,Proposed,211728
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Retirement,51611,Civilian: Retirement Accrual,82479,3,Proposed,82479
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,3,Proposed,6600
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Internal Services & Work Orders,56312,Duplicating,300,3,Proposed,300
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53611,Postage and Mailing,230,3,Proposed,230
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55112,Commercial Transportation,550,3,Proposed,550
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55212,Registration and Tuition,1050,3,Proposed,1050
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52614,Books,30,3,Proposed,30
FY15-16,Expense,City Council,City Council,511,District Five,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51511,Civilian: Paid Leave Charge,38665,3,Proposed,38665
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51111,Civilian: Regular,211728,3,Proposed,211728
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Internal Services & Work Orders,56312,Duplicating,300,3,Proposed,300
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55211,Periodical Subscriptions,250,3,Proposed,250
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55112,Commercial Transportation,220,3,Proposed,220
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52211,Stationery and Office Supplies,2460,3,Proposed,2460
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Contract Services,54919,Services: Miscellaneous Contract,590,3,Proposed,590
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52919,Supplies: Miscellaneous and Commodities,400,3,Proposed,400
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53112,Electricity (Except Street Lighting),200,3,Proposed,200
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55114,Per Diem and Lodging,1300,3,Proposed,1300
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53611,Postage and Mailing,300,3,Proposed,300
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,96083,3,Proposed,96083
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Retirement,51611,Civilian: Retirement Accrual,82479,3,Proposed,82479
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51511,Civilian: Paid Leave Charge,38665,3,Proposed,38665
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,3,Proposed,6600
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Travel & Education,55212,Registration and Tuition,980,3,Proposed,980
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,53116,Telephone,1950,3,Proposed,1950
FY15-16,Expense,City Council,City Council,611,District Six,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52911,Bottled Water and Food for Human Consumption,800,3,Proposed,800
FY15-16,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Civilian Retirement,51611,Civilian: Retirement Accrual,82479,3,Proposed,82479
FY15-16,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52911,Bottled Water and Food for Human Consumption,310,3,Proposed,310
FY15-16,Expense,City Council,City Council,711,District Seven,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Services & Supplies,52211,Stationery and Office Supplies,2240,3,Proposed,2240
