Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Type,Account Category,Account Code,Account Description,Amount,Budget Type,Budget Name,Amount as number
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54611,Repair and Maintenance: Machinery and Equipment,500,1,Adopted,500
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54711,Printing and Duplicating Services,600,1,Adopted,600
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54811,Temporary Personnel Services,2000,1,Adopted,2000
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55211,Periodical Subscriptions,250,1,Adopted,250
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56113,Facilities: General Support,169100,1,Adopted,169100
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56123,City Accounting Services,2054,1,Adopted,2054
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56124,City Contract Compliance Dept-Purchasing Services,68,1,Adopted,68
FY13-14,City Council,City Council,11, City Council: Administration,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56312,Duplicating,7170,1,Adopted,7170
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51111,Civilian: Regular,201021,1,Adopted,201021
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,1,Adopted,6600
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,36961,1,Adopted,36961
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,62487,1,Adopted,62487
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,88771,1,Adopted,88771
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Misc. Personnel Adjustments,51912,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-8112,1,Adopted,-8112
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52211,Stationery and Office Supplies,220,1,Adopted,220
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53116,Telephone,1290,1,Adopted,1290
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53313,Official Hospitality,2910,1,Adopted,2910
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53611,Postage and Mailing,400,1,Adopted,400
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54619,Repair and Maintenance: Miscellaneous,360,1,Adopted,360
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54711,Printing and Duplicating Services,200,1,Adopted,200
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54919,Services: Miscellaneous Contract,500,1,Adopted,500
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55112,Commercial Transportation,100,1,Adopted,100
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55114,Per Diem and Lodging,400,1,Adopted,400
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",1420,1,Adopted,1420
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55212,Registration and Tuition,1500,1,Adopted,1500
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55311,Memberships: Employee Association Dues,100,1,Adopted,100
FY13-14,City Council,City Council,111, District One,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56312,Duplicating,350,1,Adopted,350
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51111,Civilian: Regular,201021,1,Adopted,201021
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,1,Adopted,6600
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51426,Premium: Miscellaneous,3363,1,Adopted,3363
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,36961,1,Adopted,36961
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,62487,1,Adopted,62487
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,88771,1,Adopted,88771
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Misc. Personnel Adjustments,51912,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-8179,1,Adopted,-8179
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52211,Stationery and Office Supplies,250,1,Adopted,250
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",2010,1,Adopted,2010
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53116,Telephone,800,1,Adopted,800
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53311,City Promotion,100,1,Adopted,100
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53313,Official Hospitality,1730,1,Adopted,1730
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53611,Postage and Mailing,300,1,Adopted,300
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54919,Services: Miscellaneous Contract,750,1,Adopted,750
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",1510,1,Adopted,1510
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55212,Registration and Tuition,1000,1,Adopted,1000
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55214,On-Line Database Service,500,1,Adopted,500
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55311,Memberships: Employee Association Dues,500,1,Adopted,500
FY13-14,City Council,City Council,211, District Two,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56312,Duplicating,300,1,Adopted,300
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51111,Civilian: Regular,201021,1,Adopted,201021
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,1,Adopted,6600
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,36961,1,Adopted,36961
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,62487,1,Adopted,62487
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,88771,1,Adopted,88771
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Misc. Personnel Adjustments,51912,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-8112,1,Adopted,-8112
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52211,Stationery and Office Supplies,1540,1,Adopted,1540
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",1020,1,Adopted,1020
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53116,Telephone,1100,1,Adopted,1100
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53313,Official Hospitality,800,1,Adopted,800
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53611,Postage and Mailing,400,1,Adopted,400
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53719,Miscellaneous Services,100,1,Adopted,100
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54619,Repair and Maintenance: Miscellaneous,250,1,Adopted,250
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54919,Services: Miscellaneous Contract,400,1,Adopted,400
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55112,Commercial Transportation,750,1,Adopted,750
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55114,Per Diem and Lodging,200,1,Adopted,200
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",1000,1,Adopted,1000
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55211,Periodical Subscriptions,290,1,Adopted,290
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55212,Registration and Tuition,900,1,Adopted,900
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55311,Memberships: Employee Association Dues,100,1,Adopted,100
FY13-14,City Council,City Council,311, District Three,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56312,Duplicating,900,1,Adopted,900
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51111,Civilian: Regular,201021,1,Adopted,201021
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,1,Adopted,6600
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,36961,1,Adopted,36961
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,62487,1,Adopted,62487
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,88771,1,Adopted,88771
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Misc. Personnel Adjustments,51912,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-8112,1,Adopted,-8112
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52211,Stationery and Office Supplies,1530,1,Adopted,1530
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53116,Telephone,1500,1,Adopted,1500
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53313,Official Hospitality,1170,1,Adopted,1170
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53611,Postage and Mailing,500,1,Adopted,500
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54919,Services: Miscellaneous Contract,1250,1,Adopted,1250
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55112,Commercial Transportation,1000,1,Adopted,1000
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55114,Per Diem and Lodging,300,1,Adopted,300
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",400,1,Adopted,400
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55211,Periodical Subscriptions,100,1,Adopted,100
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55212,Registration and Tuition,1000,1,Adopted,1000
FY13-14,City Council,City Council,411, District Four,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56312,Duplicating,1000,1,Adopted,1000
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51111,Civilian: Regular,201021,1,Adopted,201021
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,1,Adopted,6600
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51428,Premium: Bilingual,3363,1,Adopted,3363
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,36961,1,Adopted,36961
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,62487,1,Adopted,62487
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,88771,1,Adopted,88771
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Misc. Personnel Adjustments,51912,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-8557,1,Adopted,-8557
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52211,Stationery and Office Supplies,2740,1,Adopted,2740
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52614,Books,30,1,Adopted,30
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53116,Telephone,3000,1,Adopted,3000
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53313,Official Hospitality,490,1,Adopted,490
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53611,Postage and Mailing,230,1,Adopted,230
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Contract Services,54919,Services: Miscellaneous Contract,600,1,Adopted,600
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55112,Commercial Transportation,550,1,Adopted,550
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55114,Per Diem and Lodging,750,1,Adopted,750
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55212,Registration and Tuition,1050,1,Adopted,1050
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Travel & Education,55311,Memberships: Employee Association Dues,10,1,Adopted,10
FY13-14,City Council,City Council,511, District Five,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Internal Services & Work Orders,56312,Duplicating,300,1,Adopted,300
FY13-14,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51111,Civilian: Regular,201021,1,Adopted,201021
FY13-14,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Allowances & Premiums,51313,"Allowance: Auto Flat (1, 2, Partially 3)",6600,1,Adopted,6600
FY13-14,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Salaries,51511,Civilian: Paid Leave Charge,36961,1,Adopted,36961
FY13-14,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Retirement,51611,Civilian: Retirement Accrual,62487,1,Adopted,62487
FY13-14,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,88771,1,Adopted,88771
FY13-14,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Misc. Personnel Adjustments,51912,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-8112,1,Adopted,-8112
FY13-14,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52211,Stationery and Office Supplies,2460,1,Adopted,2460
FY13-14,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52911,Bottled Water and Food for Human Consumption,800,1,Adopted,800
FY13-14,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,52919,Supplies: Miscellaneous and Commodities,400,1,Adopted,400
FY13-14,City Council,City Council,611, District Six,1010,General Fund: General Purpose,0000000 , UNDETERMINED PROJECT,IP52,POLICY ANALYSIS,Expense,Services & Supplies,53112,Electricity (Except Street Lighting),200,1,Adopted,200
