Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Program Code,Program Description,Account Type,Account Code,Account Category,Account Description,Amount,Amount as number,Budget Type,Budget Name
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,51212,Civilian Salaries,Civilian: Other Overtime,8960,8960,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,307148,307148,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,52921,Services & Supplies,Miscellaneous Operating Expenditures,970,970,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,55211,Operation & Maintenance,Periodical Subscriptions,1300,1300,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,52614,Services & Supplies,Books,250,250,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,51111,Civilian Salaries,Civilian: Regular,921204,921204,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,52211,Services & Supplies,Stationery and Office Supplies,8430,8430,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1010,General Fund: General Purpose,IP01,MAYOR'S SUPPORT,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,419905,419905,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1760,Telecommunications Reserve,IP01,MAYOR'S SUPPORT,Expense,51111,Civilian Salaries,Civilian: Regular,48008,48008,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1760,Telecommunications Reserve,IP01,MAYOR'S SUPPORT,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,22886,22886,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1760,Telecommunications Reserve,IP01,MAYOR'S SUPPORT,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,16728,16728,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,1760,Telecommunications Reserve,IP01,MAYOR'S SUPPORT,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,13266,13266,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,2251,Measure Y: Public Safety Act 2004,IP01,MAYOR'S SUPPORT,Expense,51111,Civilian Salaries,Civilian: Regular,38406,38406,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,2251,Measure Y: Public Safety Act 2004,IP01,MAYOR'S SUPPORT,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,10613,10613,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,2251,Measure Y: Public Safety Act 2004,IP01,MAYOR'S SUPPORT,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,13382,13382,3,Proposed
FY13-14,Mayor,Mayor,1111,Mayor: Administration,2251,Measure Y: Public Safety Act 2004,IP01,MAYOR'S SUPPORT,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,18309,18309,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54811,Contract Services,Temporary Personnel Services,2000,2000,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52911,Services & Supplies,Bottled Water and Food for Human Consumption,15000,15000,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56124,Internal Services & Work Orders,City Contract Compliance Dept-Purchasing Services,68,68,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51912,Sworn Salaries,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-22204,-22204,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56312,Internal Services & Work Orders,Duplicating,7170,7170,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53313,Services & Supplies,Official Hospitality,9000,9000,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55211,Operation & Maintenance,Periodical Subscriptions,250,250,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,40362,40362,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54011,Contract Services,Contract Contingencies (Budgetary Only),30000,30000,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53611,Services & Supplies,Postage and Mailing,1400,1400,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52211,Services & Supplies,Stationery and Office Supplies,3000,3000,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,29501,29501,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56123,Internal Services & Work Orders,City Accounting Services,2054,2054,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56113,Internal Services & Work Orders,Facilities: General Support,169100,169100,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54711,Contract Services,Printing and Duplicating Services,600,600,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53116,Services & Supplies,Telephone,26020,26020,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,23395,23395,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54611,Contract Services,Repair and Maintenance: Machinery and Equipment,500,500,3,Proposed
FY13-14,City Council,City Council,11,City Council: Administration,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51111,Civilian Salaries,Civilian: Regular,84669,84669,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51912,Sworn Salaries,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-20404,-20404,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53611,Services & Supplies,Postage and Mailing,400,400,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,36961,36961,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",1420,1420,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54619,Contract Services,Repair and Maintenance: Miscellaneous,360,360,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,88771,88771,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55212,Operation & Maintenance,Registration and Tuition,1500,1500,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55112,Operation & Maintenance,Commercial Transportation,100,100,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53313,Services & Supplies,Official Hospitality,2910,2910,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53116,Services & Supplies,Telephone,1290,1290,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51111,Civilian Salaries,Civilian: Regular,201021,201021,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55114,Operation & Maintenance,Per Diem and Lodging,400,400,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56312,Internal Services & Work Orders,Duplicating,350,350,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52211,Services & Supplies,Stationery and Office Supplies,220,220,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,64969,64969,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,100,100,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54919,Contract Services,Services: Miscellaneous Contract,500,500,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54711,Contract Services,Printing and Duplicating Services,200,200,3,Proposed
FY13-14,City Council,City Council,111,District One,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51313,Civilian Salaries,"Allowance: Auto Flat (1, 2, Partially 3)",6600,6600,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53311,Services & Supplies,City Promotion,100,100,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,88771,88771,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51912,Sworn Salaries,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-20572,-20572,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55212,Operation & Maintenance,Registration and Tuition,1000,1000,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52211,Services & Supplies,Stationery and Office Supplies,250,250,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,64969,64969,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",1510,1510,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53116,Services & Supplies,Telephone,800,800,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51111,Civilian Salaries,Civilian: Regular,201021,201021,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,500,500,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52213,Services & Supplies,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",2010,2010,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55214,Operation & Maintenance,On-Line Database Service,500,500,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54919,Contract Services,Services: Miscellaneous Contract,750,750,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53611,Services & Supplies,Postage and Mailing,300,300,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51426,Sworn Salaries,Premium: Miscellaneous,3363,3363,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,36961,36961,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56312,Internal Services & Work Orders,Duplicating,300,300,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53313,Services & Supplies,Official Hospitality,1730,1730,3,Proposed
FY13-14,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51313,Civilian Salaries,"Allowance: Auto Flat (1, 2, Partially 3)",6600,6600,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55112,Operation & Maintenance,Commercial Transportation,750,750,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51912,Sworn Salaries,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-20404,-20404,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53719,Services & Supplies,Miscellaneous Services,100,100,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53313,Services & Supplies,Official Hospitality,800,800,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52211,Services & Supplies,Stationery and Office Supplies,1540,1540,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,88771,88771,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51313,Civilian Salaries,"Allowance: Auto Flat (1, 2, Partially 3)",6600,6600,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",1000,1000,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54619,Contract Services,Repair and Maintenance: Miscellaneous,250,250,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52213,Services & Supplies,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",1020,1020,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,36961,36961,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55212,Operation & Maintenance,Registration and Tuition,900,900,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55211,Operation & Maintenance,Periodical Subscriptions,290,290,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54919,Contract Services,Services: Miscellaneous Contract,400,400,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56312,Internal Services & Work Orders,Duplicating,900,900,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53611,Services & Supplies,Postage and Mailing,400,400,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53116,Services & Supplies,Telephone,1100,1100,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51111,Civilian Salaries,Civilian: Regular,201021,201021,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,100,100,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55114,Operation & Maintenance,Per Diem and Lodging,200,200,3,Proposed
FY13-14,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,64969,64969,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51912,Sworn Salaries,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-20404,-20404,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53611,Services & Supplies,Postage and Mailing,500,500,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51111,Civilian Salaries,Civilian: Regular,201021,201021,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55212,Operation & Maintenance,Registration and Tuition,1000,1000,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54919,Contract Services,Services: Miscellaneous Contract,1250,1250,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53116,Services & Supplies,Telephone,1500,1500,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52211,Services & Supplies,Stationery and Office Supplies,1530,1530,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56312,Internal Services & Work Orders,Duplicating,1000,1000,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55211,Operation & Maintenance,Periodical Subscriptions,100,100,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",400,400,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,88771,88771,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55112,Operation & Maintenance,Commercial Transportation,1000,1000,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53313,Services & Supplies,Official Hospitality,1170,1170,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51313,Civilian Salaries,"Allowance: Auto Flat (1, 2, Partially 3)",6600,6600,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,36961,36961,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55114,Operation & Maintenance,Per Diem and Lodging,300,300,3,Proposed
FY13-14,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,64969,64969,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,10,10,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55212,Operation & Maintenance,Registration and Tuition,1050,1050,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51912,Sworn Salaries,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-21517,-21517,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55114,Operation & Maintenance,Per Diem and Lodging,750,750,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53611,Services & Supplies,Postage and Mailing,230,230,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51111,Civilian Salaries,Civilian: Regular,201021,201021,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55112,Operation & Maintenance,Commercial Transportation,550,550,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,64969,64969,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51428,Sworn Salaries,Premium: Bilingual,3363,3363,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56312,Internal Services & Work Orders,Duplicating,300,300,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52614,Services & Supplies,Books,30,30,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53116,Services & Supplies,Telephone,3000,3000,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,88771,88771,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51313,Civilian Salaries,"Allowance: Auto Flat (1, 2, Partially 3)",6600,6600,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,36961,36961,3,Proposed
FY13-14,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54919,Contract Services,Services: Miscellaneous Contract,19500,19500,3,Proposed
