Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Program Code,Program Description,Account Code,Account Description,Account Category,Amount as number,Budget Type,Budget Name,Amount
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,56611,Work Order Expenditures,Internal Services & Work Orders,33000,2,Adjusted,33000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92244,Engineer Design: Sanitary Sewer,3100,Sewer Service Fund,IN05,ENGINEERING PLANNING & DESIGN,57417,Sewers,Capital Acquistions,1650000,2,Adjusted,1650000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92270,Engineer Design: Project Management,5320,"Measure DD: 2003A Clean Water,Safe Parks & Open Space Trust Fund for Oakland",INTA,MEASURE DD SERIES A INTEREST,57411,Street Construction,Capital Acquistions,100000,2,Adjusted,100000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92270,Engineer Design: Project Management,5320,"Measure DD: 2003A Clean Water,Safe Parks & Open Space Trust Fund for Oakland",INTA,MEASURE DD SERIES A INTEREST,57411,Street Construction,Capital Acquistions,200000,2,Adjusted,200000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92270,Engineer Design: Project Management,5320,"Measure DD: 2003A Clean Water,Safe Parks & Open Space Trust Fund for Oakland",INTA,MEASURE DD SERIES A INTEREST,57411,Street Construction,Capital Acquistions,300000,2,Adjusted,300000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92270,Engineer Design: Project Management,5320,"Measure DD: 2003A Clean Water,Safe Parks & Open Space Trust Fund for Oakland",INTA,MEASURE DD SERIES A INTEREST,57411,Street Construction,Capital Acquistions,100000,2,Adjusted,100000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92270,Engineer Design: Project Management,5320,"Measure DD: 2003A Clean Water,Safe Parks & Open Space Trust Fund for Oakland",INTA,MEASURE DD SERIES A INTEREST,57411,Street Construction,Capital Acquistions,400000,2,Adjusted,400000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92270,Engineer Design: Project Management,5320,"Measure DD: 2003A Clean Water,Safe Parks & Open Space Trust Fund for Oakland",INTA,MEASURE DD SERIES A INTEREST,57411,Street Construction,Capital Acquistions,150000,2,Adjusted,150000
FY16-17,Expense,Capital Improvement Projects,Capital Improvement Projects,92270,Engineer Design: Project Management,5320,"Measure DD: 2003A Clean Water,Safe Parks & Open Space Trust Fund for Oakland",INTA,MEASURE DD SERIES A INTEREST,57411,Street Construction,Capital Acquistions,1449593,2,Adjusted,1449593
FY16-17,Expense,City Administrator,Oakland Animal Services,2491,Oakland Animal Services,1010,General Fund: General Purpose,PS13,SPECIAL OPERATIONS,51317,Allowance: Uniform,Allowances & Premiums,3249,2,Adjusted,3249
FY16-17,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,IP03,ADMINISTRATION,51511,Civilian: Paid Leave Charge,Civilian Salaries,454356,2,Adjusted,454356
FY16-17,Expense,City Administrator,Oakland Animal Services,2491,Oakland Animal Services,1010,General Fund: General Purpose,PS13,SPECIAL OPERATIONS,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,644369,2,Adjusted,644369
FY16-17,Expense,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP28,PURCHASING AND CONTRACT ADMINISTRATION,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,26826,2,Adjusted,26826
FY16-17,Expense,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",Services & Supplies,3900,2,Adjusted,3900
FY16-17,Expense,City Administrator,Employee Relations,2331,Employee Relations,1010,General Fund: General Purpose,IP61,HUMAN RESOURCE MANAGEMENT,52614,Books,Services & Supplies,90,2,Adjusted,90
FY16-17,Expense,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,53116,Telephone,Services & Supplies,9010,2,Adjusted,9010
FY16-17,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,IP03,ADMINISTRATION,53219,Rental: Miscellaneous,Services & Supplies,480,2,Adjusted,480
FY16-17,Expense,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,53311,City Promotion,Services & Supplies,80,2,Adjusted,80
FY16-17,Expense,City Administrator,Oakland Animal Services,2491,Oakland Animal Services,1010,General Fund: General Purpose,PS13,SPECIAL OPERATIONS,53511,Taxes and Assessments,Services & Supplies,1443,2,Adjusted,1443
FY16-17,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,IP03,ADMINISTRATION,53611,Postage and Mailing,Services & Supplies,18480,2,Adjusted,18480
FY16-17,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,IP03,ADMINISTRATION,54619,Repair and Maintenance: Miscellaneous,Contract Services,520,2,Adjusted,520
FY16-17,Expense,City Administrator,Equal Opportunity Programs,2311,Equal Opportunity Programs,1010,General Fund: General Purpose,IP07,EMPLOYMENT OPPORTUNITY PROGRAM,54711,Printing and Duplicating Services,Contract Services,180,2,Adjusted,180
FY16-17,Expense,City Administrator,Budget,2811,Budget Division,1010,General Fund: General Purpose,IP12,BUDGET ANALYSIS & OPERATIONS,54919,Services: Miscellaneous Contract,Contract Services,6935,2,Adjusted,6935
FY16-17,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,IP03,ADMINISTRATION,55113,Meals,Travel & Education,750,2,Adjusted,750
FY16-17,Expense,City Administrator,Employee Relations,2331,Employee Relations,1010,General Fund: General Purpose,IP61,HUMAN RESOURCE MANAGEMENT,55112,Commercial Transportation,Travel & Education,200,2,Adjusted,200
FY16-17,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,IP03,ADMINISTRATION,55111,Non-City Vehicle Rentals,Travel & Education,500,2,Adjusted,500
FY16-17,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,IP03,ADMINISTRATION,55212,Registration and Tuition,Travel & Education,6963,2,Adjusted,6963
FY16-17,Expense,City Administrator,Budget,2811,Budget Division,1010,General Fund: General Purpose,IP12,BUDGET ANALYSIS & OPERATIONS,55311,Memberships: Employee Association Dues,Travel & Education,250,2,Adjusted,250
FY16-17,Expense,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,56312,Duplicating,Internal Services & Work Orders,10890,2,Adjusted,10890
FY16-17,Expense,City Administrator,Oakland Animal Services,2491,Oakland Animal Services,1010,General Fund: General Purpose,PS13,SPECIAL OPERATIONS,56312,Duplicating,Internal Services & Work Orders,5000,2,Adjusted,5000
FY16-17,Expense,City Administrator,Equal Opportunity Programs,2311,Equal Opportunity Programs,1010,General Fund: General Purpose,IP07,EMPLOYMENT OPPORTUNITY PROGRAM,56311,Printing,Internal Services & Work Orders,50,2,Adjusted,50
FY16-17,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,IP03,ADMINISTRATION,56123,City Accounting Services,Internal Services & Work Orders,9450,2,Adjusted,9450
FY16-17,Expense,City Administrator,Oakland Animal Services,2491,Oakland Animal Services,1010,General Fund: General Purpose,PS13,SPECIAL OPERATIONS,56111,Special Setups,Internal Services & Work Orders,79174,2,Adjusted,79174
FY16-17,Expense,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,56111,Special Setups,Internal Services & Work Orders,5732,2,Adjusted,5732
FY16-17,Expense,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,56111,Special Setups,Internal Services & Work Orders,746,2,Adjusted,746
FY16-17,Revenue,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,IP03,ADMINISTRATION,45419,Other Fees: Miscellaneous,Service Charges,3766,2,Adjusted,3766
FY16-17,Expense,City Administrator,Equal Opportunity Programs,2311,Equal Opportunity Programs,1010,General Fund: General Purpose,IP07,EMPLOYMENT OPPORTUNITY PROGRAM,51511,Civilian: Paid Leave Charge,Civilian Salaries,63639,2,Adjusted,63639
FY16-17,Expense,City Administrator,Equal Opportunity Programs,2311,Equal Opportunity Programs,1010,General Fund: General Purpose,IP07,EMPLOYMENT OPPORTUNITY PROGRAM,51613,Civilian: Fringe Benefits Accrual,Civilian Fringe Benefits,103685,2,Adjusted,103685
FY16-17,Expense,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,51111,Civilian: Regular,Civilian Salaries,607570,2,Adjusted,607570
FY16-17,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,IP03,ADMINISTRATION,51111,Civilian: Regular,Civilian Salaries,1529729,2,Adjusted,1529729
FY16-17,Expense,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,51313,"Allowance: Auto Flat (1, 2, Partially 3)",Allowances & Premiums,4200,2,Adjusted,4200
FY16-17,Expense,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP28,PURCHASING AND CONTRACT ADMINISTRATION,51511,Civilian: Paid Leave Charge,Civilian Salaries,18245,2,Adjusted,18245
FY16-17,Expense,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,51611,Civilian: Retirement Accrual,Civilian Retirement,278962,2,Adjusted,278962
FY16-17,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,IP02,OAKLAND ASSISTANCE CENTER,51611,Civilian: Retirement Accrual,Civilian Retirement,46691,2,Adjusted,46691
FY16-17,Expense,City Administrator,Contract Compliance,2621,Employment Services,1010,General Fund: General Purpose,IP28,PURCHASING AND CONTRACT ADMINISTRATION,51611,Civilian: Retirement Accrual,Civilian Retirement,28203,2,Adjusted,28203
FY16-17,Expense,City Administrator,Budget,2811,Budget Division,1010,General Fund: General Purpose,IP12,BUDGET ANALYSIS & OPERATIONS,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",Services & Supplies,9290,2,Adjusted,9290
FY16-17,Expense,City Administrator,Equal Opportunity Programs,2311,Equal Opportunity Programs,1010,General Fund: General Purpose,IP07,EMPLOYMENT OPPORTUNITY PROGRAM,52213,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",Services & Supplies,930,2,Adjusted,930
FY16-17,Expense,City Administrator,Budget,2811,Budget Division,1010,General Fund: General Purpose,IP12,BUDGET ANALYSIS & OPERATIONS,52211,Stationery and Office Supplies,Services & Supplies,7950,2,Adjusted,7950
FY16-17,Expense,City Administrator,Citizens' Police Review Board,2211,Citizens' Police Review Board,1010,General Fund: General Purpose,IP06,CITIZENS POLICE REVIEW BOARD,52211,Stationery and Office Supplies,Services & Supplies,2320,2,Adjusted,2320
FY16-17,Expense,City Administrator,Employee Relations,2331,Employee Relations,1010,General Fund: General Purpose,IP61,HUMAN RESOURCE MANAGEMENT,53116,Telephone,Services & Supplies,1650,2,Adjusted,1650
FY16-17,Expense,City Administrator,Equal Opportunity Programs,2311,Equal Opportunity Programs,1010,General Fund: General Purpose,IP07,EMPLOYMENT OPPORTUNITY PROGRAM,53719,Miscellaneous Services,Services & Supplies,2580,2,Adjusted,2580
FY16-17,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,IP03,ADMINISTRATION,54612,Service Contracts for Machinery and Equipment,Contract Services,850,2,Adjusted,850
FY16-17,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,IP03,ADMINISTRATION,54919,Services: Miscellaneous Contract,Contract Services,59640,2,Adjusted,59640
FY16-17,Expense,City Administrator,Contract Compliance,2611,Contract Compliance,1010,General Fund: General Purpose,IP70,DCP ADMINISTRATION,54011,Contract Contingencies (Budgetary Only),Contract Services,53400,2,Adjusted,53400
FY16-17,Expense,City Administrator,Administration,2111,City Administrator: Administration,1010,General Fund: General Purpose,IP03,ADMINISTRATION,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",Travel & Education,5850,2,Adjusted,5850
