Fiscal Year Range,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Program Code,Program Description,Account Type,Account Code,Account Category,Account Description,Amount,Amount as number,Budget Type,Budget Name
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55212,Operation & Maintenance,Registration and Tuition,1000,1000,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53611,Services & Supplies,Postage and Mailing,300,300,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53311,Services & Supplies,City Promotion,100,100,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51426,Sworn Salaries,Premium: Miscellaneous,3363,3363,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51313,Civilian Salaries,"Allowance: Auto Flat (1, 2, Partially 3)",6600,6600,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55214,Operation & Maintenance,On-Line Database Service,500,500,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",1510,1510,3,Proposed
FY14-15,City Council,City Council,211,District Two,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51111,Civilian Salaries,Civilian: Regular,201021,201021,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,100,100,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53611,Services & Supplies,Postage and Mailing,400,400,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51912,Sworn Salaries,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-41660,-41660,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55211,Operation & Maintenance,Periodical Subscriptions,290,290,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51111,Civilian Salaries,Civilian: Regular,201021,201021,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,93012,93012,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55114,Operation & Maintenance,Per Diem and Lodging,200,200,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,36961,36961,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53313,Services & Supplies,Official Hospitality,800,800,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56312,Internal Services & Work Orders,Duplicating,900,900,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55212,Operation & Maintenance,Registration and Tuition,900,900,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55112,Operation & Maintenance,Commercial Transportation,750,750,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54619,Contract Services,Repair and Maintenance: Miscellaneous,250,250,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,69253,69253,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",1000,1000,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53719,Services & Supplies,Miscellaneous Services,100,100,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52211,Services & Supplies,Stationery and Office Supplies,1540,1540,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51313,Civilian Salaries,"Allowance: Auto Flat (1, 2, Partially 3)",6600,6600,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54919,Contract Services,Services: Miscellaneous Contract,400,400,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53116,Services & Supplies,Telephone,1100,1100,3,Proposed
FY14-15,City Council,City Council,311,District Three,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52213,Services & Supplies,"Minor Computer Hardware and Software (No Asset Number, Not Capitalized)",1020,1020,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56312,Internal Services & Work Orders,Duplicating,1000,1000,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55211,Operation & Maintenance,Periodical Subscriptions,100,100,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53313,Services & Supplies,Official Hospitality,1170,1170,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53116,Services & Supplies,Telephone,1500,1500,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,93012,93012,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52211,Services & Supplies,Stationery and Office Supplies,1530,1530,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55114,Operation & Maintenance,Per Diem and Lodging,300,300,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55212,Operation & Maintenance,Registration and Tuition,1000,1000,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55112,Operation & Maintenance,Commercial Transportation,1000,1000,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53611,Services & Supplies,Postage and Mailing,500,500,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51313,Civilian Salaries,"Allowance: Auto Flat (1, 2, Partially 3)",6600,6600,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54919,Contract Services,Services: Miscellaneous Contract,1250,1250,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51511,Civilian Salaries,Civilian: Paid Leave Charge,36961,36961,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51912,Sworn Salaries,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-41660,-41660,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55119,Operation & Maintenance,"Miscellaneous Travel Expenditures (Tips, Parking)",400,400,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,69253,69253,3,Proposed
FY14-15,City Council,City Council,411,District Four,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51111,Civilian Salaries,Civilian: Regular,201021,201021,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53611,Services & Supplies,Postage and Mailing,230,230,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51613,Civilian Fringe Benefits,Civilian: Fringe Benefits Accrual,93012,93012,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55311,Operation & Maintenance,Memberships: Employee Association Dues,10,10,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,52211,Services & Supplies,Stationery and Office Supplies,2740,2740,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51611,Civilian Retirement,Civilian: Retirement Accrual,69253,69253,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55112,Operation & Maintenance,Commercial Transportation,550,550,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51912,Sworn Salaries,Adjustments: Miscellaneous Payroll (Not Subject to Retirement),-43886,-43886,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55114,Operation & Maintenance,Per Diem and Lodging,750,750,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53116,Services & Supplies,Telephone,3000,3000,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51313,Civilian Salaries,"Allowance: Auto Flat (1, 2, Partially 3)",6600,6600,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51111,Civilian Salaries,Civilian: Regular,201021,201021,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,51428,Sworn Salaries,Premium: Bilingual,3363,3363,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,54919,Contract Services,Services: Miscellaneous Contract,19500,19500,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,56312,Internal Services & Work Orders,Duplicating,300,300,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,55212,Operation & Maintenance,Registration and Tuition,1050,1050,3,Proposed
FY14-15,City Council,City Council,511,District Five,1010,General Fund: General Purpose,IP52,POLICY ANALYSIS,Expense,53313,Services & Supplies,Official Hospitality,490,490,3,Proposed
